state_id,state,offense,juvenile_male,juvenile_female,adult_male,adult_female,total_males,total_females
AL,Alaska,Commercial sex acts,0,0,3,0,3,0
AZ,Arizona,Commercial sex acts,0,0,0,0,20,14
AR,Arkansas,Commercial sex acts,0,0,1,0,1,0
CO,Colorado,Commercial sex acts,0,0,1,0,2,1
FL,Florida,Commercial sex acts,0,0,0,0,0,0
IL,Illinois,Commercial sex acts,0,0,0,0,0,0
IN,Indiana,Commercial sex acts,0,0,2,0,2,0
LA,Louisiana,Commercial sex acts,0,0,6,1,10,6
MD,Maryland,Commercial sex acts,0,0,12,1,16,1
MN,Minnesota,Commercial sex acts,0,0,195,11,195,11
MO,Missouri,Commercial sex acts,1,0,7,2,9,3
NV,Nevada,Commercial sex acts,0,1,27,5,33,7
ND,North Dakota,Commercial sex acts,0,0,1,0,1,0
OK,Oklahoma,Commercial sex acts,6,4,19,14,26,18
RI,Rhode Island,Commercial sex acts,0,0,2,0,2,0
SC,South Carolina,Commercial sex acts,0,0,4,2,4,2
TN,Tennessee,Commercial sex acts,0,0,20,2,20,2
TX,Texas,Commercial sex acts,1,39,352,119,362,163
WA,Washington,Commercial sex acts,0,0,0,0,1,3
WI,Wisconsin,Commercial sex acts,0,0,9,4,9,4
WY,Wyoming,Commercial sex acts,0,0,1,1,2,1
